title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
Alsawah | Majestic 6BR Residence | Private Oasis,30.008531485908907,31.01549079282133,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,10.0,72,False,True,False
Executive Suite at 5 stars hotel in Zamalek,30.06577,31.21499,3.0,2.0,3.0,3.0,3.0,3.0,1.0,True,1,1.0,1,False,False,False
"السعر2000 فى اليوم
Price: 2000 per day",30.0638,31.2202,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,1,1.0,18,False,False,False
Apartment with great finishing and a classy location,30.08704,31.33643,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,30,False,False,False
Comfort,29.9767,31.2485,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,9,False,False,False
Apartment with a view of the pyramids,29.9791,31.1608,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,11,False,False,False
Unknown,30.007,31.5411,5.0,2.0,5.0,5.0,5.0,5.0,2.0,True,4,3.5,1,False,False,False
House 3 rooms and bathroom,29.9524,31.2722,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,14,False,False,False
enjoy the fun in madinaty city,30.1019,31.6114,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,1.0,9,False,False,False
b15 My city,30.0753,31.6585,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,31,False,False,False
Amazing Rental Opportunity!,29.9642,31.2729,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,3.0,52,False,False,False
Jacuzzi Studio By The Historic Pyramids (Apt.3),29.97727,31.14582,4.9,20.0,4.9,4.85,4.85,4.95,103.6,True,1,1.0,268,True,True,False
Cairo and Alex Budget Tours,30.01619,31.21482,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,1.0,61,False,False,False
"Cairo, Nasr City, Abbas El-Akkad",30.06889,31.33742,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,18,False,False,False
"stunning 2 bedroom flat with pool view
in Mivida",30.00689,31.53403,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.5,100,False,True,False
Maadi Garden Compound next to the Fishing Club,30.0524,31.2305,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,2.0,False,3,2.0,14,False,False,False
Luxury apartment with Nile view,30.055490679204876,31.21234135367557,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,17,False,False,False
"Abbas Al-Akkad Al-Raisi, Nasr City",30.06379,31.33794,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,1,1.0,30,False,False,False
villa in katameya dunes .new Cairo 3,29.9735938358492,31.37955091071872,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,6,3.0,58,False,True,False
Modern villa overlooking Abu Sir Pyramids,29.89204,31.21373,4.82,45.0,4.82,4.87,4.64,4.6,715.37,True,4,4.5,30,False,True,False
"Hills Villa, Rehab city",30.06626,31.48533,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,4.0,55,False,False,False
New annual legal rent,29.99661,31.01448,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,4.0,97,False,True,False
Golf View Penthouse | Rooftop Jacuzzi · 5BR ·,30.0122,31.443,5.0,11.0,5.0,5.0,5.0,4.91,700.0,True,5,4.0,234,False,True,False
Abusir Pyramids Retreat,29.8995,31.2077,4.94,133.0,4.95,4.86,4.88,4.65,700.15,True,5,5.5,223,True,True,False
The Only 5 En-Suite Pool Villa Inside CFC,30.03626,31.41681,5.0,3.0,5.0,5.0,5.0,5.0,582.3,True,5,4.5,261,False,True,False
Abu Sir Pyramids & Palm view villa newly renovated,29.8918,31.2197,4.81,73.0,4.89,4.88,4.63,4.59,641.61,True,5,5.5,295,True,True,False
Rooftop Nile Duplex| Panoramic View Zamalek island,30.05115,31.23047,5.0,10.0,4.9,5.0,4.8,4.8,720.72,True,7,4.0,354,False,False,False
The best place to stay,30.05549,31.29055,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,12,False,False,False
"House of Kheops ""Under the Great Pyramid""",29.98656,31.109,4.75,8.0,4.88,4.88,4.63,5.0,799.27,True,4,4.0,250,False,True,True
Lovely 3 bedroom apartment with open view,30.01074,31.54075,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,11,False,False,False
Unknown,30.017398442411803,31.483336515478115,5.0,4.0,4.75,4.75,4.75,5.0,504.6,True,5,4.0,1,False,False,False
Furnished Villa for rent with private pool,30.0593,31.4875,5.0,1.0,3.0,5.0,5.0,5.0,685.41,True,3,3.0,175,False,True,False
"St. Regis, 3 Bedroom Suite, Partial Nile view",30.0629,31.2279,5.0,1.0,4.0,5.0,3.0,5.0,743.38,True,3,1.0,277,False,False,False
Luxury 5BR/ mansion with pool in New Cairo.,30.00648,31.54454,4.91,11.0,5.0,4.91,4.82,5.0,605.8,True,5,5.0,9,False,False,False
Spacious 7 Master BR Mansion with Private pool,30.023,31.4832,5.0,3.0,5.0,5.0,5.0,4.67,700.0,True,7,8.0,69,False,True,False
5 Star Zamalek Penthouse on the Nile - 3 bedrooms,30.0675,31.2222,5.0,2.0,5.0,5.0,5.0,5.0,788.67,True,4,5.0,86,False,False,False
"7 Days Budget Luxor, Hurghada & Cairo Tour",30.01599,31.21415,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,4,1.0,68,False,False,False
"Villa I 5BR, Pool, Jacuzzi",30.0098,31.485,5.0,2.0,5.0,5.0,5.0,5.0,540.0,True,5,3.0,110,False,True,False
"Villa for daily rent, furnished with cinema",30.08432252580841,31.64819215456974,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,543.26,False,3,3.0,32,False,False,False
Spacious 5 Master BR Mansion with private pool,30.022877793905398,31.482462783054608,5.0,2.0,5.0,5.0,5.0,5.0,600.0,True,5,5.5,48,False,True,False
Modern five-bedroom master villa in Sheikh Zayed,30.07078,30.94473,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,592.44,False,5,5.0,9,False,False,False
"Duplex Hotel Villa in Dokki, Al-Mesaha Square",30.0362,31.2136,5.0,3.0,5.0,4.67,4.67,5.0,608.83,True,3,3.0,32,False,False,False
Luxury accommodation on the Nile directly in Zamalek,30.06966,31.22102,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,537.41,False,4,5.0,101,True,False,False
Luxury condotel with a charming view of the Nile and the pyramids,29.98709,31.23052,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,5,6.0,202,False,False,False
Spacious 6BR Villa With Swimming Pool,30.02281,31.48507,5.0,8.0,4.88,4.88,4.75,4.75,640.0,True,6,5.0,69,False,True,False
"VESTA Oriana Villas| 4BR With Pool, Cairo festival",30.0371,31.4161,4.8,5.0,4.8,4.8,4.6,4.6,541.0,True,4,3.5,305,True,False,False
Stunning Villa near The Pyramids,29.93014,31.18286,4.84,25.0,4.84,4.96,4.64,4.24,597.12,True,9,6.5,549,False,True,False
Exclusive golf view 4BD w/ Pool&Jacuzzi mansion,30.02347,31.42431,4.67,6.0,4.67,4.83,4.83,4.83,583.0,True,4,4.0,130,False,True,False
"Apartment for rent on the Nile Corniche, Pearl Towers",30.0781,31.2303,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,2.5,101,True,False,False
"Villa Garnet I 5Br, Pool & GYM",30.00079,31.51073,5.0,14.0,4.86,4.86,4.79,5.0,600.0,True,5,4.5,256,True,True,False
"Villa Jade I 5BR, Pool, Jacuzzi",30.02271,31.42386,5.0,22.0,4.91,4.82,4.64,4.86,816.0,True,5,3.0,134,False,True,False
Unknown,30.010433566289496,31.43816597278476,5.0,1.0,5.0,5.0,5.0,5.0,567.85,True,9,3.0,1,False,False,False
Unknown,30.05968,31.48681,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,687.45,False,3,3.0,1,False,False,False
Unknown,30.04401,31.00575,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,8,9.0,1,False,False,False
Four Seasons Luxurious Apartment,30.03605,31.22977,4.96,28.0,4.93,4.89,4.89,5.0,641.61,True,2,2.5,176,False,True,False
Prince Naguib Palace Dahab Island,29.997700368636444,31.228639310776646,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,702.49,False,3,1.0,16,False,False,False
Furnished villa for rent with swimming pool,30.05957,31.48795,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,681.99,False,4,3.0,79,False,True,False
Luxury 6 Bedroom Villa heated Pool-Beverly Hills,30.0673,30.9591,5.0,13.0,5.0,4.92,5.0,5.0,948.15,True,6,6.0,269,True,True,False
Experience luxury and comfort in the heart of Al-Rehab City,30.0545,31.4673,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,2.0,40,False,False,False
VIP Villa,29.9831,31.0029,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,614.68,False,6,5.0,84,False,False,False
Unknown,29.98145,31.27841,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,1,False,False,False
"Villa Onyx I 4BR, Indoor Pool, Sauna, Golf view",29.999593670171905,31.525099848897824,5.0,3.0,5.0,5.0,5.0,5.0,700.0,True,4,4.5,68,False,True,False
Apartment in Al-Rehab New Cairo,30.05484,31.46763,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,1.0,13,False,False,False
Bohemian Luxury on the Nile/ Zamalek Loft,30.05494,31.21774,4.94,110.0,4.94,4.93,4.8,4.93,250.0,True,2,1.5,74,False,False,False
Elite Duplex | Private Pool | Lake View Residence,30.02722,31.54131,5.0,1.0,5.0,5.0,4.0,5.0,247.0,True,3,4.5,439,True,True,False
Elysian 7 Master BR Mansion with Private Pool,30.0235,31.4828,5.0,3.0,5.0,4.67,5.0,5.0,700.0,True,7,8.0,69,False,True,False
Penthouse w/ Private Rooftop Pool & Lake Views,30.02566,31.53888,5.0,4.0,5.0,5.0,5.0,5.0,343.6,True,4,3.0,444,False,True,False
Heaven Rooftop with Jacuzzi in Sarayat Maadi,29.9626,31.2659,4.98,59.0,5.0,4.98,4.97,4.97,263.43,True,1,1.5,153,True,True,False
"The most luxurious apartment in Zamalek, Aziz Abaza",30.06006353719748,31.2252921837026,4.83,6.0,4.83,4.83,4.67,5.0,665.03,True,6,6.0,100,False,False,False
Comfy stay,30.05786,31.51458,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,3,3.0,11,False,False,False
Zamalek 5bdr Nile view rooftop,30.066627976299674,31.22208440551136,5.0,3.0,5.0,5.0,5.0,5.0,541.56,True,5,4.0,81,False,True,False
Penthouse with Private Pool in Lake View Residence,30.023,31.5414,4.86,29.0,4.9,4.69,4.79,4.93,301.4,True,4,4.5,71,False,True,False
New Cairo Lake View Residence Duplex with Pool,30.02395,31.5363,4.85,55.0,4.91,4.84,4.75,4.64,313.8,True,3,3.5,208,True,True,False
Nile View at Four Seasons 2BD with Crimson Chamber,30.03585,31.22828,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,638.1,False,2,2.5,566,False,True,False
Brassbell Zamalek Om Kolthoum 3BR Central Loc 4,30.06375,31.21514,4.82,66.0,4.85,4.65,4.71,4.91,305.6,True,3,3.0,54,False,False,False
Unknown,29.98746,31.23017,4.81,74.0,4.88,4.72,4.81,4.84,292.71,True,3,3.0,1,False,False,False
Rustic Luxe Garden Villa,29.9595,31.2589,5.0,1.0,5.0,5.0,5.0,5.0,351.25,True,3,2.5,19,False,False,False
Grand 5BR Villa with Garden | By 5A at New Cairo,30.01131656386752,31.409468417597445,4.95,20.0,4.9,4.9,4.9,4.95,374.8,True,5,4.0,223,False,False,False
An amazing Apartment for rent,30.0757,31.6727,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,2.0,8,False,False,False
"Madinah Al Munawarah Compound
Hadaeq Akt",29.9163,31.06,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,1.0,52,False,False,False
Alsawah | Luxe 7BR All Ensuite @Palm Hills Golf Ex,29.99529243616239,31.03939316720273,5.0,2.0,5.0,5.0,5.0,5.0,690.0,True,7,7.0,791,True,False,False
Luxury 4-Floor Villa with Pyramids Panoramic view,30.0127,31.1044,4.94,18.0,4.94,4.78,4.94,4.89,251.73,True,6,10.0,248,True,True,False
Bayt Shorouk Oasis - Your Chic Green Escape-Nesty,30.0212,31.1001,5.0,2.0,5.0,5.0,5.0,5.0,271.54,True,4,4.5,607,False,True,False
Lux private home Sheikh zayed,30.037954460420423,30.961577282489856,4.92,62.0,4.89,4.94,4.89,4.92,292.71,True,4,3.0,81,False,True,False
3 Rooms l Cairo Group Stay w/ Pool & Spa Access,30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,637.83,False,3,1.0,240,False,True,False
Comfy home,30.06677,31.35597,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,2,2.0,11,False,False,False
Unknown,29.92769709461667,31.549326419987427,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,491.75,False,5,6.0,1,False,False,False
3 Bedroom and 1 Living Room Apartment,30.0692,30.939,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,712.33,False,3,3.0,63,False,False,False
New Cairo's Poolside Oasis,30.02123,31.54025,4.88,67.0,4.85,4.7,4.73,4.78,256.0,True,3,3.0,352,False,True,False
Nice view and close to city stars,30.04968,31.35701,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,409.79,False,3,2.5,1,False,False,False
VIP Villa in Sheikh Zayed - Al-Ajria,30.07151,30.96654,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,492.68,False,5,4.0,33,False,True,False
Helmy's home,29.9758,30.9383,5.0,1.0,5.0,5.0,5.0,4.0,585.41,True,1,1.0,11,False,False,False
Stylish Villa 4BDR With Pool@ Palm Hills October,29.99267,31.02834,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,602.88,False,4,5.0,152,True,True,False
6-room villa,30.0582,30.99946,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,6,6.0,9,False,False,False
Alsawah | Luxury 5BR Villa @Green Heights compound,30.00164063502168,30.96092808429563,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,705.0,False,5,4.0,33,False,True,False
Zamalek house,30.06241279062483,31.22438444926347,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,702.49,False,6,4.0,14,False,False,False
Palm Hills Zayed Palace for rent,30.0082170029309,31.024295687447083,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,936.66,False,7,8.0,49,False,True,False
Luxury villa in Uptown Cairo- Elite compound,30.0197,31.2987,5.0,1.0,5.0,5.0,3.0,5.0,533.0,True,4,3.5,86,True,True,False
Villa for rent,29.89093,30.8871,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,6,7.0,56,False,True,False
Unknown,30.03926617378836,31.03550104270195,5.0,1.0,5.0,4.0,4.0,5.0,505.8,True,4,4.0,1,False,False,False
Royal Palace for daily rent inside Palm Hills Compound,29.9953,31.026,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,761.04,False,7,9.0,9,False,False,False
10 full hotel rooms in Sheikh Zayed,30.038971610995603,30.98082936950036,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,971.78,False,10,19.0,92,True,True,False
Lavish 4BD Apartment Nile View,30.021020845919956,31.221862764449444,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,632.25,False,4,4.0,62,False,False,False
Ancient Wonders & Modern Comforts l 3 Rooms,30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,637.83,False,3,1.0,240,False,True,False
FANY Pyramids View,29.978503559419416,31.14580133169591,4.99,89.0,5.0,4.98,4.94,4.87,124.11,True,1,1.0,500,True,False,False
"Furnished apartment for rent in Mivida, 3 bedrooms",30.00797,31.5407,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,684.72,False,3,3.0,34,False,False,False
"Ancient Thrills, Modern Spa & Pool l 4 Rooms",30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,661.2,False,4,1.0,236,False,True,False
Modern Villa | Mountain View October,29.99198745548937,30.88947163610252,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,354.64,False,5,4.0,10,False,False,False
Grand 8BDR Villa With Garden @Beverly Hills Zayed,30.0648,30.9468,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,678.13,False,8,9.0,125,False,False,False
Sheikh Zayed Promenade,30.06641924641129,30.99160253109052,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,7,0.0,9,False,False,False
Cozy stay with Nile view in Zamalek,30.0545,31.2182,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,425.0,False,3,3.0,63,False,False,False
Relaxing 4 bedroom villa-private outdoor area,30.09442,31.63577,5.0,1.0,5.0,5.0,5.0,5.0,521.02,True,4,4.5,10,False,False,False
Royal City Compound,30.06827,31.0121,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,491.75,False,6,4.0,19,False,False,False
Pool house gateaway in New Zayed,30.079034062365743,30.900127661861205,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,6,5.0,47,False,True,False
Apartment lux-rent in new cairo,30.0649,31.4497,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,526.87,False,3,3.0,25,False,False,False
Al Sawah | 6BR Villa w / Private Pool in Al Karma 1,30.02722261951549,30.99687867658561,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,769.0,False,6,6.0,301,False,True,False
Aura Room @Space Home,29.9567,31.2781,5.0,4.0,5.0,5.0,5.0,5.0,507.2,True,3,1.0,445,False,False,False
7-room mansion inside Palm Hills,29.99487,31.02495,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,693.6,False,7,7.0,9,False,False,False
Chic Villa with Pool | 154,30.03008,31.45124,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,817.46,False,5,7.0,165,False,True,False
A royal palace for daily rent in Sheikh Zayed,30.05769,31.00005,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,6,6.0,21,False,False,False
Villa in the community for daily rent,30.01181,31.48074,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,962.89,False,5,5.0,42,True,True,False
3-bedroom apartment in Maadi,29.9597,31.264,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,2.5,15,False,False,False
Luxurious Townhouse With Pool,30.0689044895959,30.945093548014007,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,738.83,False,4,4.0,78,False,True,False
6-bedroom villa for daily rent in Sheikh Zayed,30.07131,30.94438,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,690.79,False,6,5.5,9,False,False,False
Royal Room @Space Home,29.9567,31.2781,5.0,3.0,5.0,5.0,5.0,5.0,501.0,True,3,1.0,461,False,False,False
5|BR Mansion in sheikh zayed city,30.0587,31.0004,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,643.95,False,5,6.0,7,False,False,False
Villa for rent with private pool,30.00076,31.17602,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,679.08,False,5,3.0,91,False,True,False
Golf-Front 7BR Villa + Private Pool | Al Rabwah,29.955120993702053,30.92256993886449,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,496.43,False,7,6.0,150,False,True,False
Luxury Mansion In Sheikh Zayed,30.08252643877542,30.98587604736013,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,679.08,False,5,6.0,32,False,True,False
VIP hotel villa for rent,30.0702,30.94751,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,5,6.0,31,True,True,False
Alsawah | Luxe 5BR @Palm Hills Bamboo Ex.,30.006145716685037,31.0221210996691,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,552.4,False,5,5.0,63,False,True,False
Modern 3 BR amazing location fifth settlement,30.06324,31.52063,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,526.87,False,3,1.0,104,True,False,False
Special apartment for rent,30.07429298148537,31.553874245318656,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,2.0,49,False,False,False
Unknown,30.080555,30.905894,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,661.2,False,4,1.0,1,False,False,False
palace in compound @elsheikh zayed 6 bedrooms,30.0366,31.0258,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,503.45,False,6,7.0,59,False,True,False
palace in Beverly Hills.zayed 8 bedrooms with pool,30.06721,30.94253,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,707.18,False,8,12.0,64,False,True,False
Hotel apartment close to nile,30.0393,31.2151,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,591.75,False,3,2.0,18,False,False,False
Al-Jawhara Hotel Apartment,30.0564,30.982,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,3.0,14,False,False,False
7 bedrooms palace-sheikh zayed,29.995777380736342,31.0376956161168,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,679.08,False,7,7.0,20,False,True,False
Palm Hills House,29.9916,31.029,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,777.61,False,4,2.0,84,False,False,False
Beautiful Furnished Doplex,29.9974,31.4243,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,585.41,False,3,2.0,80,False,False,False
Alsawah|Luxury 6BR Villa with Private Pool,30.04262,31.00669,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,505.0,False,6,5.0,70,False,True,False
Golden Paradise Villa,29.992,30.8862,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,613.43,False,4,5.0,467,False,True,False
"Villa of Dreams, 3 Bedrooms, 3 Bathrooms, Luxury 7 Stars",30.0066,30.9754,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,629.9,False,3,3.0,119,False,True,False
Unknown,29.95903,31.2525,5.0,3.0,4.67,4.0,5.0,5.0,600.63,True,3,1.5,1,False,False,False
Luxury 7BDR with Pool@ Palm Hills Sheikh Zayed,29.9916,31.029,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,675.1,False,7,8.0,216,True,True,False
Unknown,30.0269,31.2174,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,526.87,False,4,3.0,1,False,False,False
Relaxing Villa 7BDR&Pool @Palm Hills ElSeikh Zayed,29.99252,31.0278,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,904.33,False,7,8.0,119,True,False,False
"Villa for rent with private pool, a masterpiece",30.00177,31.1749,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,655.66,False,5,4.0,85,False,False,False
Unknown,30.17164,31.46058,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,761.04,False,4,3.0,1,False,False,False
Luxury standalone villa with private pool,30.0253,31.4764,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,822.86,False,5,4.0,9,False,False,False
"107 sqm apartment, two rooms for hotel rent in my city",30.09551,31.63167,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,1.0,False,2,2.0,48,False,False,False
Villa for daily & monthly Ren,30.07056,30.94806,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,561.99,False,6,5.0,42,True,True,False
"Villa Joleen
Villa Joleen",30.0767,30.97638,5.0,1.0,5.0,5.0,5.0,5.0,818.39,True,5,6.0,97,False,True,False
Alsawah | Lux Villa w/Private Pool in Sheikh Zayed,30.06916,30.94808,5.0,1.0,5.0,5.0,5.0,5.0,565.0,True,5,5.0,126,False,True,False
Soul Room @SpaceHome,29.95727,31.27693,5.0,3.0,5.0,5.0,5.0,4.67,501.0,True,3,1.0,444,False,False,False
Abu Ghaliaa l Sh. Zayed l Green Revolution,30.0587,31.0004,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,702.49,False,5,7.0,60,False,True,False
Stylish 5BDR Villa @ Green Revolution - Sheikh Zayed,30.05905,30.99965,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,843.46,False,5,8.0,181,True,True,False
Luxurious palace for rent in Sheikh Zayed,30.00433274374348,31.035223254041757,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,702.49,False,5,6.0,63,False,True,False
