title,lat,lng,rating_overall,reviews_count,rating_accuracy,rating_cleanliness,rating_value,rating_location,nightly_price,has_rating,bedrooms,bathrooms,description_length,has_wifi,has_pool,has_pyramid_view
grey l studio apartments DT CAI Bidair House,30.04898,31.23912,4.84,73.0,4.82,4.84,4.79,4.79,68.0,True,1,1.0,11,False,False,False
Artistic Earth Retreat | Jacuzzi & Pyramids View,29.9768,31.142,4.67,24.0,4.54,4.46,4.5,4.88,119.42,True,1,1.0,371,True,True,False
Bed Room & Jacuzzi sun pyramids,29.97776299852336,31.14683350194963,4.64,25.0,4.76,4.2,4.52,4.48,51.95,True,1,1.0,215,True,True,True
Eterna Pyramids view W bathtub,29.973067231781588,31.144488124962702,4.86,139.0,4.87,4.86,4.87,4.61,70.0,True,1,1.0,348,True,True,False
Iconic B-Villa /2Mints to Gem And Pyramids,30.00520653352528,31.10733432161687,5.0,1.0,5.0,5.0,5.0,5.0,110.06,True,3,3.0,52,False,False,False
Old House Pyramids View,29.976268143214693,31.13926811057964,4.75,4.0,4.75,4.5,4.75,5.0,27.0,True,1,1.0,177,True,False,False
Home facing Pyramids IN OLD GIZA breakfast&Jacuzzi,29.98569,31.14484,4.95,317.0,4.91,4.96,4.94,4.82,168.09,True,2,2.0,687,False,True,True
Pyramids Bay,29.9784,31.1461,4.82,330.0,4.89,4.85,4.85,4.7,84.06,True,3,1.5,291,False,False,False
Bayt Abbas Boutique Stay (The Dome Chamber),30.0083,31.1098,5.0,6.0,5.0,5.0,5.0,4.83,116.0,True,1,1.0,314,False,True,False
"16 Sukrol Limon, Old Egypt, Saleh's property",30.04519175634667,31.236020877997216,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,38.0,False,2,1.0,23,False,False,False
Quiet place and close to the pyramids area,29.9835,31.09341,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,56.0,False,2,1.0,11,False,False,False
"La Casa Del Rey | Prime Zamalek, near Marriott",30.0591,31.223,5.0,5.0,5.0,4.8,5.0,5.0,94.84,True,2,2.0,130,False,False,False
nasr city mohamed el nady street,30.0561,31.3523,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,3,2.0,14,False,False,False
"Apartment for sale in Nasr City, Al-Waha neighborhood",30.07104,31.34393,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,4,3.0,71,False,False,False
"Spacious apartment, private entrance in villa area",30.01092,31.41048,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,3,2.0,29,False,False,False
A furnished palace in Al Rehab City for rent,30.0646,31.4882,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,7.0,False,6,6.0,92,False,True,False
Apartment for sale in the eighth neighborhood at a bargain price,29.98392,30.93608,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,11.0,False,2,1.5,35,False,False,False
6 October _Firdous Al-Jaish_ Building 334,29.9581,31.039,1.0,1.0,1.0,1.0,1.0,1.0,11.0,True,3,1.0,46,False,False,False
"New Maadi, Saqr Quraysh",29.9955,31.2803,4.8925321888412014,0.0,4.880128755364806,4.831845493562232,4.815214592274679,4.830793991416309,10.0,False,1,1.0,37,False,False,False
